sample_dir,prompt_label,prompt_tokens,layer,kind,rank,token_index,energy
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,6,1396,3.044654130935669
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,7,1636,3.0430455207824707
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,8,2356,3.041782855987549
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,9,2644,3.040393114089966
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,10,1684,3.03519344329834
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,1,94,0.3671794533729553
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,2,82,0.36513736844062805
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,3,106,0.36387425661087036
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,4,154,0.362917423248291
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,5,202,0.3595618009567261
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,6,11,0.3587149977684021
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,7,51,0.3578525483608246
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,8,90,0.3577580749988556
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,9,67,0.3574908673763275
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,value,10,81,0.35561272501945496
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,1,2113,3.35187029838562
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,2,1633,3.350083589553833
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,3,289,3.348234176635742
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,4,769,3.3447535037994385
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,5,2065,3.33966064453125
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,6,3073,3.333209991455078
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,7,2785,3.3321027755737305
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,8,385,3.3319833278656006
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,9,1585,3.3310317993164062
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,key,10,1441,3.3295280933380127
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,1,39,0.35796040296554565
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,2,81,0.3425990045070648
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,3,33,0.3414262533187866
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,4,2385,0.33595314621925354
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,5,11,0.33577942848205566
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,6,8,0.33445605635643005
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,7,17,0.33351460099220276
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,8,1185,0.33323416113853455
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,9,1233,0.33313271403312683
data/cache_samples/long_3095tok_20260427_233303,long,3095,11,value,10,29,0.33308881521224976
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,1,2690,3.1313085556030273
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,2,1442,3.12707781791687
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,3,2786,3.1267473697662354
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,4,2642,3.12500262260437
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,5,2882,3.12151837348938
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,6,3074,3.120379686355591
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,7,2594,3.120173692703247
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,8,2930,3.1198458671569824
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,9,2114,3.119351625442505
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,key,10,770,3.117983341217041
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,1,407,0.36912769079208374
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,2,887,0.3644038736820221
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,3,503,0.3604785203933716
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,4,1367,0.3603202700614929
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,5,1847,0.35533055663108826
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,6,743,0.353522390127182
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,7,1943,0.35280513763427734
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,8,2807,0.3514675199985504
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,9,1463,0.3499988615512848
data/cache_samples/long_3095tok_20260427_233303,long,3095,12,value,10,1223,0.34972354769706726
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,1,770,3.231957197189331
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,2,2114,3.2270143032073975
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,3,866,3.2170803546905518
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,4,2498,3.2153100967407227
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,5,1442,3.214418888092041
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,6,2690,3.2113213539123535
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,7,2210,3.2113125324249268
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,8,2786,3.211210012435913
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,9,2018,3.2108302116394043
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,key,10,674,3.210758686065674
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,1,67,0.4800129532814026
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,2,48,0.46019625663757324
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,3,115,0.45383602380752563
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,4,1943,0.4526798129081726
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,5,42,0.44970399141311646
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,6,45,0.4479673206806183
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,7,93,0.4474746584892273
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,8,1031,0.44677168130874634
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,9,743,0.4460371732711792
data/cache_samples/long_3095tok_20260427_233303,long,3095,13,value,10,503,0.44413962960243225
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,1,2980,3.2441458702087402
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,2,3076,3.2278194427490234
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,3,2500,3.221090793609619
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,4,2068,3.218933343887329
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,5,1828,3.2182106971740723
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,6,1636,3.215106964111328
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,7,2836,3.2126457691192627
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,8,2788,3.2089502811431885
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,9,868,3.207139253616333
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,key,10,3028,3.203188180923462
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,1,503,1.017797589302063
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,2,1271,0.9824799299240112
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,3,1031,0.9571982622146606
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,4,1463,0.9423450231552124
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,5,551,0.9176219701766968
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,6,455,0.9168036580085754
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,7,1367,0.893457293510437
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,8,48,0.8676236867904663
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,9,6,0.8662311434745789
data/cache_samples/long_3095tok_20260427_233303,long,3095,14,value,10,2231,0.8662095069885254
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,1,1808,3.175117015838623
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,2,387,3.174443244934082
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,3,1760,3.17218279838562
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,4,675,3.172175168991089
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,5,579,3.1692309379577637
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,6,2048,3.1678247451782227
data/cache_samples/long_3095tok_20260427_233303,long,3095,15,key,7,1635,3.1670637130737305
